!Ion
Fe+
!MOLECULAR WEIGHT
56.0
!NUMBER OF ENERGY LEVELS
111
!LEVEL + ENERGIES(cm^-1) + WEIGHT + Qnum
   43    14     7      4.900e-03  3.3110020e+05   19386.672
   44    14    10      6.130e-04  1.6545882e+05   19386.672
   45    14    11      2.700e-04  1.5236870e+05   19386.672
   46    14    12      7.700e-05  1.4371921e+05   19386.672
   47    15     3      1.800e-03  3.8989516e+05   19672.664
   48    15     5      2.200e-04  3.8062044e+05   19672.664
   49    15     7      1.100e-02  3.3705928e+05   19672.664
   50    15     8      6.900e-03  3.2483214e+05   19672.664
   51    15     9      2.000e-03  3.1645265e+05   19672.664
   52    15    10      6.100e-04  1.7141790e+05   19672.664
   53    15    12      1.600e-04  1.4967830e+05   19672.664
   54    15    13      1.500e-04  1.4469234e+05   19672.664
   55    15    14      1.900e-04  5.9590777e+03   19672.664
   56    16     4      1.800e-03  3.9099563e+05   20005.940
   57    16     5      5.200e-04  3.8756485e+05   20005.940
   58    16     8      8.200e-03  3.3177655e+05   20005.940
   59    16     9      1.100e-02  3.2339701e+05   20005.940
   60    16    11      7.600e-04  1.6527216e+05   20005.940
   61    16    12      2.500e-04  1.5662268e+05   20005.940
   62    16    15      5.500e-04  6.9443820e+03   20005.940
   63    17     2      3.600e-01  6.1294942e+05   29970.561
   64    17     4      2.700e-02  5.9862460e+05   29970.561
   65    17     6      3.700e-01  5.6834697e+05   29970.561
   66    17     7      1.100e-01  5.5163260e+05   29970.561
   67    17     8      2.200e-02  5.3940559e+05   29970.561
   68    17    10      2.800e-02  3.8599130e+05   29970.561
   69    18     3      4.800e-01  6.3389231e+05   31382.682
   70    18     4      2.600e-02  6.2804845e+05   31382.682
   71    18     5      8.200e-02  6.2461759e+05   31382.682
   72    18     7      3.000e-01  5.8105642e+05   31382.682
   73    18     8      1.900e-01  5.6882934e+05   31382.682
   74    18     9      5.700e-02  5.6044983e+05   31382.682
   75    18    12      1.200e-02  3.9367548e+05   31382.682
   76    19     4      4.900e-01  6.4596995e+05   32242.779
   77    19     5      1.500e-01  6.4253917e+05   32242.779
   78    19     8      2.400e-01  5.8675091e+05   32242.779
   79    19     9      3.400e-01  5.7837130e+05   32242.779
   80    19    13      1.800e-02  4.0661105e+05   32242.779
   81    20     6      4.400e-01  5.8096904e+05   30576.323
