! iup ilow         Eup           freq            lam         Tex         tau          Tr         fup        flow      flux_K    flux_int     flux_Jy        beta         Jnu    gup   glow         Aul         Bul         Blu      n_crit  n_crit_old q
!                    K             Hz         micron           K                       K                              K km/s   erg/cm2/s   Jy( 0.1")                     ...                       s-1         ...         ...        cm-3        cm-3  
!     1/     5:     1    1    1    1    1 /     1    1    1    1    5  Loop order: Tkin, dv, n_x, Ncol_x, dens
!  2.3000E+01 =    Tkin
!  1.0000E+05 =      dv
!  1.0000E+00 =     n_x
!  7.0000E+12 =  Ncol_x
!  1.0000E+03 =      H2
    8    7    119.8383  6.2420867E+11  4.8027602E+02  1.493E+001  9.660E-003  4.473E-002  2.537E-004  1.636E-003  4.761E-002  1.491E-007  1.426E-004  9.964E-001  2.072E-015   15.0   13.0  2.040E-002  5.689E+009  6.564E+009  1.556E+007  5.759E+007 1
    9    8    154.0733  7.1334209E+11  4.2026464E+02  1.624E+001  1.507E-003  7.130E-003  3.495E-005  2.537E-004  7.590E-003  3.548E-008  2.969E-005  9.994E-001  4.383E-016   17.0   15.0  3.071E-002  5.738E+009  6.503E+009  2.238E+007  9.135E+007 1
   10    9    192.5852  8.0245833E+11  3.7359256E+02  1.638E+001  2.122E-004  8.601E-004  3.720E-006  3.495E-005  9.156E-004  6.093E-009  4.532E-006  9.999E-001  6.865E-017   19.0   17.0  4.401E-002  5.776E+009  6.455E+009  3.278E+007  1.424E+008 1
   11   10    235.3731  8.9155792E+11  3.3625685E+02  1.701E+001  2.281E-005  8.578E-005  3.322E-007  3.720E-006  9.131E-005  8.333E-010  5.579E-007  1.000E+000  9.490E-018   21.0   19.0  6.067E-002  5.806E+009  6.417E+009  4.461E+007  1.983E+008 1
   12   11    282.4363  9.8063740E+11  3.0571183E+02  1.760E+001  2.053E-006  7.158E-006  2.509E-008  3.322E-007  7.619E-006  9.253E-011  5.632E-008  1.000E+000  1.230E-018   23.0   21.0  8.107E-002  5.830E+009  6.386E+009  6.226E+007  2.835E+008 1
!     4/     5:     1    1    1    1    4 /     1    1    1    1    5  Loop order: Tkin, dv, n_x, Ncol_x, dens
!  2.3000E+01 =    Tkin
!  1.0000E+05 =      dv
!  1.0000E+00 =     n_x
!  7.0000E+12 =  Ncol_x
!  1.0000E+08 =      H2
    2    1      4.2804  8.9188523E+10  3.3613345E+03  2.317E+001  1.938E-001  3.519E+000  2.261E-001  9.065E-002  3.745E+000  3.422E-008  2.290E-004  9.309E-001  6.116E-015    3.0    1.0  4.251E-005  4.064E+009  1.219E+010  4.048E+004  1.767E+005 1
    3    2     12.8411  1.7837506E+11  1.6806859E+03  2.303E+001  5.930E-001  8.333E+000  2.598E-001  2.261E-001  8.870E+000  6.483E-007  2.169E-003  8.088E-001  3.859E-014    5.0    3.0  4.081E-004  4.877E+009  8.128E+009  3.285E+005  9.144E+005 1
    4    3     25.6817  2.6755762E+11  1.1204781E+03  2.291E+001  8.476E-001  9.702E+000  2.077E-001  2.598E-001  1.033E+001  2.547E-006  5.683E-003  7.429E-001  9.854E-014    7.0    5.0  1.476E-003  5.225E+009  7.315E+009  1.011E+006  2.648E+006 1
    5    4     42.8023  3.5673429E+11  8.4038027E+02  2.275E+001  7.955E-001  8.349E+000  1.258E-001  2.077E-001  8.887E+000  5.196E-006  8.694E-003  7.558E-001  1.466E-013    9.0    7.0  3.627E-003  5.418E+009  6.966E+009  2.408E+006  6.904E+006 1
    6    5     64.2022  4.4590300E+11  6.7232663E+02  2.252E+001  5.434E-001  5.650E+000  5.944E-002  1.258E-001  6.015E+000  6.867E-006  9.193E-003  8.227E-001  1.465E-013   11.0    9.0  7.245E-003  5.542E+009  6.774E+009  4.857E+006  1.464E+007 1
    7    6     89.8812  5.3506178E+11  5.6029504E+02  2.221E+001  2.816E-001  2.894E+000  2.211E-002  5.944E-002  3.081E+000  6.078E-006  6.780E-003  9.019E-001  1.020E-013   13.0   11.0  1.271E-002  5.628E+009  6.651E+009  8.908E+006  3.017E+007 1
    8    7    119.8383  6.2420867E+11  4.8027602E+02  2.192E+001  1.124E-001  1.090E+000  6.505E-003  2.211E-002  1.160E+000  3.634E-006  3.475E-003  9.591E-001  5.028E-014   15.0   13.0  2.040E-002  5.689E+009  6.564E+009  1.498E+007  5.543E+007 1
    9    8    154.0733  7.1334209E+11  4.2026464E+02  2.178E+001  3.484E-002  3.073E-001  1.531E-003  6.505E-003  3.271E-001  1.529E-006  1.279E-003  9.871E-001  1.818E-014   17.0   15.0  3.071E-002  5.738E+009  6.503E+009  2.210E+007  9.022E+007 1
   10    9    192.5852  8.0245833E+11  3.7359256E+02  2.149E+001  8.563E-003  6.563E-002  2.850E-004  1.531E-003  6.986E-002  4.649E-007  3.458E-004  9.968E-001  4.883E-015   19.0   17.0  4.401E-002  5.776E+009  6.455E+009  3.267E+007  1.420E+008 1
   11   10    235.3731  8.9155792E+11  3.3625685E+02  2.137E+001  1.645E-003  1.098E-002  4.255E-005  2.850E-004  1.169E-002  1.067E-007  7.141E-005  9.994E-001  1.007E-015   21.0   19.0  6.067E-002  5.806E+009  6.417E+009  4.459E+007  1.981E+008 1
   12   11    282.4363  9.8063740E+11  3.0571183E+02  2.109E+001  2.521E-004  1.426E-003  5.001E-006  4.255E-005  1.518E-003  1.844E-008  1.122E-005  9.999E-001  1.585E-016   23.0   21.0  8.107E-002  5.830E+009  6.386E+009  6.225E+007  2.834E+008 1
!     5/     5:     1    1    1    1    5 /     1    1    1    1    5  Loop order: Tkin, dv, n_x, Ncol_x, dens
!  2.3000E+01 =    Tkin
!  1.0000E+05 =      dv
!  1.0000E+00 =     n_x
!  7.0000E+12 =  Ncol_x
!  1.0000E+12 =      H2
    2    1      4.2804  8.9188523E+10  3.3613345E+03  2.300E+001  1.941E-001  3.494E+000  2.246E-001  9.020E-002  3.719E+000  3.398E-008  2.274E-004  9.308E-001  6.093E-015    3.0    1.0  4.251E-005  4.064E+009  1.219E+010  4.048E+004  1.767E+005 1
    3    2     12.8411  1.7837506E+11  1.6806859E+03  2.300E+001  5.899E-001  8.287E+000  2.580E-001  2.246E-001  8.821E+000  6.448E-007  2.158E-003  8.097E-001  3.837E-014    5.0    3.0  4.081E-004  4.877E+009  8.128E+009  3.288E+005  9.154E+005 1
    4    3     25.6817  2.6755762E+11  1.1204781E+03  2.300E+001  8.395E-001  9.690E+000  2.067E-001  2.580E-001  1.031E+001  2.544E-006  5.676E-003  7.449E-001  9.826E-014    7.0    5.0  1.476E-003  5.225E+009  7.315E+009  1.014E+006  2.655E+006 1
    5    4     42.8023  3.5673429E+11  8.4038027E+02  2.300E+001  7.858E-001  8.414E+000  1.262E-001  2.067E-001  8.956E+000  5.236E-006  8.761E-003  7.582E-001  1.474E-013    9.0    7.0  3.627E-003  5.418E+009  6.966E+009  2.416E+006  6.927E+006 1
    6    5     64.2022  4.4590300E+11  6.7232663E+02  2.300E+001  5.384E-001  5.798E+000  6.086E-002  1.262E-001  6.172E+000  7.047E-006  9.433E-003  8.241E-001  1.501E-013   11.0    9.0  7.245E-003  5.542E+009  6.774E+009  4.866E+006  1.467E+007 1
    7    6     89.8812  5.3506178E+11  5.6029504E+02  2.300E+001  2.830E-001  3.081E+000  2.355E-002  6.086E-002  3.279E+000  6.469E-006  7.216E-003  9.014E-001  1.085E-013   13.0   11.0  1.271E-002  5.628E+009  6.651E+009  8.903E+006  3.015E+007 1
    8    7    119.8383  6.2420867E+11  4.8027602E+02  2.300E+001  1.170E-001  1.235E+000  7.387E-003  2.355E-002  1.315E+000  4.117E-006  3.937E-003  9.575E-001  5.701E-014   15.0   13.0  2.040E-002  5.689E+009  6.564E+009  1.496E+007  5.534E+007 1
    9    8    154.0733  7.1334209E+11  4.2026464E+02  2.300E+001  3.866E-002  3.785E-001  1.890E-003  7.387E-003  4.029E-001  1.883E-006  1.576E-003  9.856E-001  2.241E-014   17.0   15.0  3.071E-002  5.738E+009  6.503E+009  2.207E+007  9.009E+007 1
   10    9    192.5852  8.0245833E+11  3.7359256E+02  2.300E+001  1.030E-002  9.105E-002  3.958E-004  1.890E-003  9.692E-002  6.449E-007  4.797E-004  9.961E-001  6.776E-015   19.0   17.0  4.401E-002  5.776E+009  6.455E+009  3.265E+007  1.419E+008 1
   11   10    235.3731  8.9155792E+11  3.3625685E+02  2.300E+001  2.229E-003  1.756E-002  6.808E-005  3.958E-004  1.869E-002  1.706E-007  1.142E-004  9.992E-001  1.611E-015   21.0   19.0  6.067E-002  5.806E+009  6.417E+009  4.458E+007  1.981E+008 1
   12   11    282.4363  9.8063740E+11  3.0571183E+02  2.300E+001  3.935E-004  2.748E-003  9.634E-006  6.808E-005  2.925E-003  3.552E-008  2.162E-005  9.999E-001  3.049E-016   23.0   21.0  8.107E-002  5.830E+009  6.386E+009  6.225E+007  2.834E+008 1
